School Year,"Enroll, Female: American Indian/Alaska Native (Enrl F)","Enroll, Female: Asian (Enrl F)","Enroll, Female: Black/African American (Enrl F)","Enroll, Female: Hispanics of any race (Enrl F)","Enroll, Female: Native Hawaiian/Other Pacific Islander (Enrl F)","Enroll, Female: Two or more races (Enrl F)",Race/Ethnicity Unknown (Enrl F),"Enroll, Female: White (Enrl F)","Total Enrolled Females, derived from races","Enroll, Male: American Indian/Alaska Native (Enrl M)","Enroll, Male: Asian (Enrl M)","Enroll, Male: Black/African American (Enrl M)","Enroll, Male: Hispanics of any race (Enrl M)","Enroll, Male: Native Hawaiian/Other Pacific Islander (Enrl M)","Enroll, Male: Two or more races (Enrl M)",Race/Ethnicity Unknown (Enrl M),"Enroll, Male: White (Enrl M)","Total Enrolled Males, derived from races"
2009-2010,,,,,,,,,0,,,,,,,,,0
2008-2009,,,,,,,,,0,,,,,,,,,0
2007-2008,,,,,,,,,0,,,,,,,,,0
2006-2007,,,,,,,,,0,,,,,,,,,0
2005-2006,,,,,,,,,0,,,,,,,,,0
2004-2005,,,,,,,,,0,,,,,,,,,0
2010-2011,0,0,6,0,0,0,0,0,6,0,0,8,0,0,0,0,1,9
2011-2012,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5
2012-2013,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
2013-2014,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3
2014-2015,0,0,5,0,0,0,0,0,5,0,0,20,0,0,0,0,0,20
2015-2016,0,0,8,0,0,1,0,0,9,0,0,20,0,0,0,0,0,20
2016-2017,0,0,6,0,0,0,0,0,6,1,0,13,0,0,0,0,1,15
2009-2010,0,22,5,4,0,11,,14,56,0,50,15,12,1,37,,82,197
2010-2011,0,24,6,6,0,4,,19,59,0,70,15,19,3,20,,118,245
2011-2012,0,23,4,4,0,6,,10,47,0,91,30,28,2,29,,98,278
2012-2013,0,28,6,7,0,6,,17,64,0,101,34,31,3,23,,122,314
2008-2009,,,,,,,,,0,,,,,,,,,0
2009-2010,,,6,2,,,,8,16,,6,3,10,,1,,30,50
2010-2011,,1,2,,,,,3,6,,4,12,13,,7,,34,70
2011-2012,,3,4,3,,,,11,21,,8,17,29,,8,,66,128
2012-2013,,,3,4,,6,,5,18,,11,8,35,,4,,50,108
2013-2014,,1,5,4,,2,,7,19,,8,15,29,,7,,44,103
2013-2014,0,22,4,5,0,3,,12,46,0,63,19,21,1,10,,67,181
2007-2008,,,,,,,,,0,,,,,,,,,0
2007-2008,,,,,,,,,0,,,,,,,,,0
2014-2015,,3,4,3,,,,13,23,1,4,14,30,,,9,60,118
2015-2016,0,9,2,1,1,1,1,9,24,0,13,4,4,0,1,8,84,114
2014-2015,0,4,4,0,0,0,1,13,22,0,11,4,2,0,2,3,70,92
2013-2014,0,1,0,0,0,2,1,6,10,0,2,6,3,0,1,2,58,72
2012-2013,0,1,1,1,0,0,1,6,10,0,1,7,2,0,0,0,49,59
2011-2012,0,1,2,0,0,1,0,1,5,0,2,1,1,0,2,1,46,53
2010-2011,0,0,0,1,0,0,0,2,3,0,2,1,3,0,2,0,61,69
2009-2010,0,1,1,0,0,0,1,8,11,0,2,2,1,0,0,1,49,55
2008-2009,0,0,0,0,0,0,0,8,8,1,4,2,0,0,0,1,58,66
2016-2017,0,4,2,2,0,1,1,14,24,0,12,3,6,0,1,3,66,91
2011-2012,0,0,0,3,0,0,0,0,3,0,1,0,10,0,1,1,2,15
2012-2013,0,0,1,5,0,0,0,0,6,0,2,2,15,0,0,0,2,21
2013-2014,0,0,0,4,0,2,0,0,6,0,1,2,14,0,0,1,5,23
2014-2015,0,0,1,2,0,0,0,0,3,0,2,1,16,0,1,0,1,21
2015-2016,0,1,3,6,0,1,0,0,11,0,1,4,13,0,2,0,2,22
2011-2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2012-2013,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,2
2013-2014,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,7
2014-2015,0,1,0,0,0,0,0,2,3,0,3,0,1,0,0,0,0,4
2015-2016,,1,,,,,,2,3,,14,,,,1,,5,20
2011-2012,0,1,0,1,0,0,0,0,2,0,5,2,0,0,1,1,6,15
2012-2013,0,0,0,1,0,0,0,1,2,0,4,0,1,0,0,0,6,11
2013-2014,0,1,0,2,0,1,0,2,6,0,2,0,2,0,0,0,13,17
2014-2015,0,0,0,0,0,0,0,1,1,0,6,0,1,0,1,0,10,18
2015-2016,,6,,,,,,3,9,,11,,4,,,,10,25
2013-2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
2015-2016,,,,,,,,,0,,1,,,,,1,,2
2013-2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,3
2015-2016,,1,,,,,,,1,,1,,,,,,1,2
2013-2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,0,3,4
2015-2016,,1,,,,,,,1,,4,,,,,,2,6
2014-2015,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2015-2016,,3,,,,,,,3,,2,1,,,,,,3
2003-2004,0,0,1,0,0,0,,7,8,0,3,3,0,0,1,,16,23
2004-2005,0,1,2,1,0,1,,6,11,0,0,1,1,0,1,,22,25
2005-2006,0,1,2,0,0,0,,5,8,0,1,4,0,0,1,,35,41
2006-2007,0,0,4,1,0,0,,2,7,0,1,2,4,0,1,,28,36
2007-2008,0,0,3,0,0,0,,5,8,0,0,3,0,0,1,,20,24
2008-2009,0,1,2,0,0,0,,8,11,0,4,7,1,0,2,,29,43
2009-2010,1,2,5,3,0,2,,1,14,0,0,5,3,0,2,,21,31
2010-2011,0,3,4,0,0,1,,3,11,0,0,7,3,0,6,,29,45
2011-2012,0,2,8,2,0,2,,6,20,0,5,8,4,0,5,,33,55
